call id,agent,date,time,topic,answered (Y/N),resolved,speed of answer in seconds,avgtalkduration,satisfaction rating
ID0039,Stewart,1/1/2021,14:38:24,Contract related,Y,Y,74,401,1
ID0040,Greg,1/1/2021,14:38:24,Technical Support,Y,Y,49,149,3
ID0041,Jim,1/1/2021,14:47:02,Technical Support,Y,Y,27,129,5
ID0042,Greg,1/1/2021,14:47:02,Contract related,Y,Y,100,294,5
ID0043,Diane,1/1/2021,14:47:02,Technical Support,Y,Y,45,381,3
ID0044,Becky,1/1/2021,14:47:02,Payment related,Y,Y,98,194,5
ID0045,Diane,1/1/2021,15:44:38,Admin Support,Y,Y,25,313,5
ID0046,Jim,1/1/2021,15:44:38,Contract related,N,N,,0,
ID0047,Dan,1/1/2021,17:13:55,Admin Support,Y,Y,107,142,3
ID0048,Martha,1/1/2021,17:13:55,Contract related,N,N,,0,
ID0049,Joe,1/1/2021,17:25:26,Technical Support,Y,Y,104,215,5
ID0050,Dan,1/1/2021,17:25:26,Technical Support,N,N,,0,
ID0051,Martha,1/1/2021,17:35:31,Contract related,N,N,,0,
ID0052,Jim,1/1/2021,17:35:31,Admin Support,N,N,,0,
ID0053,Stewart,1/1/2021,17:36:58,Payment related,Y,Y,13,75,5
ID0054,Dan,1/1/2021,17:36:58,Payment related,Y,Y,119,152,5
ID0055,Becky,1/1/2021,17:44:10,Streaming,Y,Y,35,79,3
ID0056,Dan,1/1/2021,17:44:10,Streaming,Y,Y,83,405,4
ID0057,Jim,1/1/2021,17:57:07,Technical Support,Y,Y,48,172,2
ID0058,Stewart,1/1/2021,17:57:07,Admin Support,Y,Y,45,203,5
ID0059,Dan,1/2/2021,9:05:46,Technical Support,Y,Y,65,360,5
ID0060,Dan,1/2/2021,9:05:46,Contract related,Y,Y,50,266,3
ID0061,Diane,1/2/2021,9:18:43,Streaming,Y,Y,17,375,3
ID0062,Joe,1/2/2021,9:18:43,Technical Support,N,N,,0,
ID0063,Dan,1/2/2021,9:20:10,Streaming,Y,Y,96,406,1
ID0064,Stewart,1/2/2021,9:20:10,Streaming,Y,Y,90,383,3
ID0065,Jim,1/2/2021,9:38:53,Contract related,Y,Y,98,385,2
ID0066,Diane,1/2/2021,9:38:53,Technical Support,Y,N,90,83,4
ID0067,Jim,1/2/2021,10:04:48,Contract related,Y,Y,98,349,5
ID0068,Jim,1/2/2021,10:04:48,Contract related,Y,Y,70,192,5
ID0069,Diane,1/2/2021,10:33:36,Contract related,Y,Y,69,285,4
ID0070,Diane,1/2/2021,10:33:36,Admin Support,N,N,,0,
ID0071,Joe,1/2/2021,11:08:10,Technical Support,Y,Y,120,131,4
ID0072,Stewart,1/2/2021,11:08:10,Admin Support,Y,Y,113,351,5
ID0073,Greg,1/2/2021,11:26:53,Payment related,Y,N,10,139,5
ID0074,Becky,1/2/2021,11:26:53,Contract related,Y,Y,122,293,1
ID0075,Stewart,1/2/2021,11:42:43,Technical Support,Y,N,125,98,3
ID0076,Diane,1/2/2021,11:42:43,Admin Support,N,N,,0,
ID0077,Martha,1/2/2021,11:47:02,Technical Support,Y,Y,33,398,2
ID0078,Dan,1/2/2021,11:47:02,Contract related,Y,Y,51,382,2
ID0079,Becky,1/2/2021,11:54:14,Contract related,Y,Y,58,208,3
ID0080,Dan,1/2/2021,11:54:14,Admin Support,Y,Y,121,287,5
ID0081,Diane,1/2/2021,12:00:00,Admin Support,Y,Y,118,126,4
ID0082,Greg,1/2/2021,12:00:00,Payment related,Y,Y,52,416,4
ID0083,Stewart,1/2/2021,12:20:10,Admin Support,Y,Y,55,284,3
ID0084,Dan,1/2/2021,12:20:10,Contract related,Y,Y,68,359,4
ID0085,Becky,1/2/2021,12:41:46,Technical Support,Y,Y,106,262,5
ID0086,Martha,1/2/2021,12:41:46,Technical Support,Y,Y,32,276,3
ID0087,Jim,1/2/2021,12:44:38,Payment related,N,N,,0,
ID0088,Martha,1/2/2021,12:44:38,Admin Support,Y,N,45,86,4
ID0089,Joe,1/2/2021,12:59:02,Technical Support,Y,Y,119,212,4
ID0090,Dan,1/2/2021,12:59:02,Streaming,N,N,,0,
ID0091,Jim,1/2/2021,13:03:22,Contract related,Y,Y,46,341,1
ID0092,Stewart,1/2/2021,13:03:22,Technical Support,Y,Y,101,88,3
ID0093,Jim,1/2/2021,13:04:48,Technical Support,Y,Y,56,172,3
ID0094,Becky,1/2/2021,13:04:48,Technical Support,Y,Y,80,53,3
ID0095,Diane,1/2/2021,13:13:26,Streaming,Y,Y,24,96,3
ID0096,Stewart,1/2/2021,13:13:26,Payment related,Y,Y,113,234,2
ID0097,Greg,1/2/2021,13:20:38,Contract related,Y,Y,19,123,4
ID0098,Martha,1/2/2021,13:20:38,Streaming,N,N,,0,
ID0099,Dan,1/2/2021,13:20:38,Contract related,Y,Y,45,397,3
ID0100,Diane,1/2/2021,13:20:38,Technical Support,Y,Y,95,311,1
ID0101,Becky,1/2/2021,13:45:07,Technical Support,N,N,,0,
ID0102,Martha,1/2/2021,13:45:07,Technical Support,Y,N,79,331,1
ID0103,Diane,1/2/2021,13:49:26,Payment related,Y,Y,22,236,2
ID0104,Martha,1/2/2021,13:49:26,Contract related,Y,Y,38,396,1
ID0105,Becky,1/2/2021,13:53:46,Technical Support,Y,Y,112,205,5
ID0106,Becky,1/2/2021,13:53:46,Payment related,Y,Y,65,297,3
ID0107,Joe,1/2/2021,14:22:34,Streaming,N,N,,0,
ID0108,Becky,1/2/2021,14:22:34,Contract related,Y,N,55,152,1
ID0109,Stewart,1/2/2021,14:52:48,Admin Support,N,N,,0,
ID0110,Joe,1/2/2021,14:52:48,Streaming,Y,Y,19,158,2
ID0111,Becky,1/2/2021,15:10:05,Technical Support,Y,Y,53,56,3
ID0112,Diane,1/2/2021,15:10:05,Technical Support,Y,Y,24,366,5
ID0113,Martha,1/2/2021,15:36:00,Streaming,Y,Y,73,361,3
ID0114,Stewart,1/2/2021,15:36:00,Technical Support,N,N,,0,
ID0115,Jim,1/2/2021,17:36:58,Technical Support,Y,Y,55,347,5
ID0116,Greg,1/2/2021,17:36:58,Payment related,N,N,,0,
ID0117,Diane,1/2/2021,17:47:02,Streaming,N,N,,0,
ID0118,Martha,1/2/2021,17:47:02,Streaming,Y,Y,23,318,4
ID0119,Dan,1/3/2021,9:10:05,Payment related,Y,N,124,143,5
ID0120,Dan,1/3/2021,9:10:05,Contract related,N,N,,0,
ID0121,Dan,1/3/2021,9:47:31,Technical Support,Y,Y,103,61,4
ID0122,Martha,1/3/2021,9:47:31,Contract related,Y,Y,69,225,4
ID0123,Joe,1/3/2021,10:29:17,Streaming,Y,Y,78,72,3
ID0124,Martha,1/3/2021,10:29:17,Technical Support,Y,Y,78,206,5
ID0125,Martha,1/3/2021,10:37:55,Technical Support,N,N,,0,
ID0126,Diane,1/3/2021,10:37:55,Payment related,Y,Y,44,338,4
ID0127,Martha,1/3/2021,10:52:19,Admin Support,Y,Y,35,166,4
ID0128,Becky,1/3/2021,10:52:19,Admin Support,Y,Y,102,326,4
ID0129,Jim,1/3/2021,10:52:19,Contract related,Y,Y,99,351,3
ID0130,Jim,1/3/2021,10:52:19,Admin Support,Y,Y,29,249,3
ID0131,Becky,1/3/2021,10:58:05,Admin Support,Y,N,42,59,5
ID0132,Diane,1/3/2021,10:58:05,Payment related,Y,Y,113,340,4
ID0133,Dan,1/3/2021,11:02:24,Admin Support,Y,Y,124,53,2
ID0134,Jim,1/3/2021,11:02:24,Technical Support,N,N,,0,
ID0135,Dan,1/3/2021,11:03:50,Payment related,Y,Y,55,133,1
ID0136,Greg,1/3/2021,11:03:50,Technical Support,Y,N,105,359,3
ID0137,Stewart,1/3/2021,11:06:43,Contract related,Y,N,112,192,5
ID0138,Martha,1/3/2021,11:06:43,Contract related,N,N,,0,
ID0139,Becky,1/3/2021,11:16:48,Technical Support,Y,Y,43,380,5
ID0140,Joe,1/3/2021,11:16:48,Payment related,Y,Y,20,104,3
ID0141,Greg,1/3/2021,11:26:53,Technical Support,Y,Y,84,103,5
ID0142,Jim,1/3/2021,11:26:53,Contract related,Y,Y,20,164,4
ID0143,Greg,1/3/2021,11:38:24,Streaming,Y,Y,101,136,3
ID0144,Diane,1/3/2021,11:38:24,Technical Support,Y,Y,31,175,5
ID0145,Jim,1/3/2021,11:52:48,Contract related,Y,Y,56,249,5
ID0146,Joe,1/3/2021,11:52:48,Contract related,N,N,,0,
ID0147,Joe,1/3/2021,11:55:41,Payment related,Y,Y,77,87,5
ID0148,Jim,1/3/2021,11:55:41,Payment related,Y,Y,46,50,4
ID0149,Stewart,1/3/2021,11:58:34,Admin Support,Y,Y,88,266,3
ID0150,Diane,1/3/2021,11:58:34,Payment related,Y,Y,88,58,1
ID0151,Joe,1/3/2021,12:33:07,Technical Support,Y,Y,124,363,1
ID0152,Stewart,1/3/2021,12:33:07,Contract related,N,N,,0,
ID0153,Martha,1/3/2021,12:54:43,Payment related,Y,N,52,419,4
ID0154,Joe,1/3/2021,12:54:43,Admin Support,Y,Y,67,370,5
ID0155,Martha,1/3/2021,13:12:00,Payment related,Y,Y,119,256,3
ID0156,Dan,1/3/2021,13:12:00,Admin Support,Y,Y,98,277,2
ID0157,Jim,1/3/2021,13:14:53,Technical Support,N,N,,0,
ID0158,Joe,1/3/2021,13:14:53,Technical Support,Y,Y,118,258,3
ID0159,Becky,1/3/2021,13:27:50,Admin Support,Y,Y,123,75,3
ID0160,Becky,1/3/2021,13:27:50,Streaming,Y,N,86,337,1
ID0161,Greg,1/3/2021,13:35:02,Admin Support,Y,Y,104,129,3
ID0162,Greg,1/3/2021,13:35:02,Payment related,Y,Y,69,93,2
ID0163,Dan,1/3/2021,13:58:05,Contract related,Y,Y,113,158,1
ID0164,Joe,1/3/2021,13:58:05,Streaming,Y,Y,88,203,5
ID0165,Joe,1/3/2021,13:58:05,Streaming,N,N,,0,
ID0166,Stewart,1/3/2021,13:58:05,Payment related,N,N,,0,
ID0167,Joe,1/3/2021,14:03:50,Payment related,Y,Y,84,58,2
ID0168,Diane,1/3/2021,14:03:50,Streaming,Y,Y,113,82,3
ID0169,Joe,1/3/2021,14:47:02,Streaming,Y,Y,38,331,4
ID0170,Dan,1/3/2021,14:47:02,Streaming,Y,Y,14,374,4
ID0171,Martha,1/3/2021,15:34:34,Streaming,Y,N,25,332,4
ID0172,Dan,1/3/2021,15:34:34,Contract related,N,N,,0,
ID0173,Diane,1/3/2021,16:29:17,Technical Support,N,N,,0,
ID0174,Joe,1/3/2021,16:29:17,Payment related,Y,Y,117,127,4
ID0175,Stewart,1/3/2021,17:31:12,Payment related,Y,N,57,361,2
ID0176,Martha,1/3/2021,17:31:12,Technical Support,Y,Y,119,319,5
ID0177,Martha,1/4/2021,9:01:26,Contract related,N,N,,0,
ID0178,Diane,1/4/2021,9:01:26,Streaming,Y,Y,93,392,5
ID0179,Martha,1/4/2021,9:31:41,Payment related,Y,Y,86,64,4
ID0180,Joe,1/4/2021,9:31:41,Streaming,N,N,,0,
ID0181,Dan,1/4/2021,9:43:12,Contract related,Y,Y,92,179,3
ID0182,Greg,1/4/2021,9:43:12,Streaming,N,N,,0,
ID0183,Martha,1/4/2021,10:03:22,Technical Support,Y,Y,106,342,3
ID0184,Stewart,1/4/2021,10:03:22,Technical Support,Y,Y,67,164,3
ID0185,Jim,1/4/2021,10:27:50,Streaming,Y,Y,90,257,3
ID0186,Diane,1/4/2021,10:27:50,Technical Support,N,N,,0,
ID0187,Becky,1/4/2021,11:09:36,Streaming,Y,N,50,229,4
ID0188,Diane,1/4/2021,11:09:36,Admin Support,Y,N,89,256,3
ID0189,Jim,1/4/2021,11:13:55,Admin Support,Y,Y,74,378,3
ID0190,Martha,1/4/2021,11:13:55,Payment related,Y,Y,63,142,2
ID0191,Becky,1/4/2021,11:18:14,Contract related,Y,Y,45,391,5
ID0192,Martha,1/4/2021,11:18:14,Technical Support,N,N,,0,
ID0193,Dan,1/4/2021,11:22:34,Payment related,Y,Y,31,403,2
ID0194,Joe,1/4/2021,11:22:34,Streaming,N,N,,0,
ID0195,Joe,1/4/2021,11:32:38,Contract related,Y,Y,43,224,5
ID0196,Martha,1/4/2021,11:32:38,Streaming,Y,Y,50,342,4
ID0197,Dan,1/4/2021,12:02:53,Technical Support,Y,Y,48,312,4
ID0198,Martha,1/4/2021,12:02:53,Admin Support,Y,Y,113,164,5
ID0199,Jim,1/4/2021,12:15:50,Streaming,N,N,,0,
ID0200,Joe,1/4/2021,12:15:50,Technical Support,Y,Y,103,400,5
ID0201,Becky,1/4/2021,12:15:50,Technical Support,Y,N,95,267,3
ID0202,Joe,1/4/2021,12:15:50,Admin Support,Y,Y,30,304,1
ID0203,Greg,1/4/2021,13:32:10,Admin Support,Y,Y,124,199,3
ID0204,Diane,1/4/2021,13:32:10,Admin Support,Y,Y,17,123,5
ID0205,Stewart,1/4/2021,13:45:07,Streaming,Y,Y,113,360,3
ID0206,Jim,1/4/2021,13:45:07,Technical Support,Y,Y,25,147,5
ID0207,Jim,1/4/2021,13:56:38,Admin Support,Y,Y,52,262,5
ID0208,Dan,1/4/2021,13:56:38,Admin Support,Y,Y,28,164,5
ID0209,Greg,1/4/2021,14:25:26,Technical Support,Y,Y,69,185,3
ID0210,Martha,1/4/2021,14:25:26,Streaming,Y,Y,106,232,3
ID0211,Jim,1/4/2021,14:28:19,Technical Support,N,N,,0,
ID0212,Joe,1/4/2021,14:28:19,Payment related,Y,Y,26,299,3
ID0213,Joe,1/4/2021,14:31:12,Payment related,Y,Y,53,355,4
ID0214,Martha,1/4/2021,14:31:12,Technical Support,Y,Y,77,250,2
ID0215,Jim,1/4/2021,14:49:55,Contract related,Y,Y,45,182,3
ID0216,Becky,1/4/2021,14:49:55,Technical Support,N,N,,0,
ID0217,Greg,1/4/2021,15:23:02,Streaming,Y,Y,56,256,4
ID0218,Stewart,1/4/2021,15:23:02,Admin Support,Y,Y,13,236,2
ID0219,Stewart,1/4/2021,15:48:58,Admin Support,Y,Y,120,410,5
ID0220,Diane,1/4/2021,15:48:58,Payment related,Y,Y,22,50,1
ID0221,Martha,1/4/2021,16:48:00,Payment related,Y,Y,81,201,4
ID0222,Jim,1/4/2021,16:48:00,Streaming,N,N,,0,
ID0223,Martha,1/4/2021,16:49:26,Contract related,Y,Y,71,48,2
ID0224,Stewart,1/4/2021,16:49:26,Payment related,Y,Y,75,93,4
ID0225,Martha,1/4/2021,16:49:26,Technical Support,Y,Y,77,162,4
ID0226,Joe,1/4/2021,16:49:26,Streaming,Y,Y,88,387,4
ID0227,Stewart,1/4/2021,17:35:31,Admin Support,Y,Y,82,185,2
ID0228,Jim,1/4/2021,17:35:31,Technical Support,Y,Y,110,390,3
ID0229,Martha,1/4/2021,17:39:50,Admin Support,Y,N,70,92,3
ID0230,Becky,1/4/2021,17:39:50,Admin Support,Y,Y,117,220,3
ID0231,Joe,1/5/2021,9:08:38,Streaming,Y,Y,18,50,3
ID0232,Joe,1/5/2021,9:08:38,Streaming,Y,Y,113,156,4
ID0233,Stewart,1/5/2021,9:25:55,Contract related,Y,N,68,209,5
ID0234,Greg,1/5/2021,9:25:55,Payment related,Y,Y,67,254,5
ID0235,Joe,1/5/2021,9:33:07,Technical Support,Y,Y,36,67,5
ID0236,Stewart,1/5/2021,9:33:07,Streaming,N,N,,0,
ID0237,Becky,1/5/2021,10:00:29,Technical Support,Y,Y,33,150,1
ID0238,Dan,1/5/2021,10:00:29,Contract related,Y,Y,113,119,5
ID0239,Greg,1/5/2021,10:49:26,Contract related,Y,Y,106,379,3
ID0240,Joe,1/5/2021,10:49:26,Streaming,Y,Y,23,299,3
ID0241,Joe,1/5/2021,11:31:12,Streaming,N,N,,0,
ID0242,Greg,1/5/2021,11:31:12,Payment related,Y,Y,11,282,1
ID0243,Greg,1/5/2021,11:41:17,Contract related,Y,Y,73,285,5
ID0244,Dan,1/5/2021,11:41:17,Admin Support,Y,Y,109,289,5
ID0245,Martha,1/5/2021,11:49:55,Payment related,Y,Y,29,254,4
ID0246,Dan,1/5/2021,11:49:55,Streaming,N,N,,0,
ID0247,Becky,1/5/2021,11:49:55,Admin Support,Y,Y,81,74,4
ID0248,Greg,1/5/2021,11:49:55,Contract related,Y,Y,59,232,1
ID0249,Becky,1/5/2021,12:00:00,Streaming,Y,Y,32,389,4
ID0250,Martha,1/5/2021,12:00:00,Admin Support,Y,Y,116,42,4
ID0251,Diane,1/5/2021,12:12:58,Payment related,Y,Y,92,115,5
ID0252,Greg,1/5/2021,12:12:58,Streaming,Y,Y,62,362,5
ID0253,Joe,1/5/2021,13:04:48,Payment related,Y,Y,83,113,5
ID0254,Joe,1/5/2021,13:04:48,Admin Support,Y,Y,71,151,3
ID0255,Greg,1/5/2021,13:59:31,Admin Support,Y,N,74,272,3
ID0256,Joe,1/5/2021,13:59:31,Technical Support,Y,Y,96,346,4
ID0257,Diane,1/5/2021,14:42:43,Admin Support,Y,Y,110,101,1
ID0258,Jim,1/5/2021,14:42:43,Streaming,Y,N,110,158,3
ID0259,Dan,1/5/2021,15:18:43,Technical Support,Y,Y,117,183,4
ID0260,Becky,1/5/2021,15:18:43,Admin Support,Y,Y,44,353,3
ID0261,Diane,1/5/2021,15:20:10,Contract related,Y,Y,47,362,4
ID0262,Greg,1/5/2021,15:20:10,Admin Support,Y,Y,97,76,3
ID0263,Greg,1/5/2021,15:31:41,Streaming,Y,Y,67,159,4
ID0264,Diane,1/5/2021,15:31:41,Streaming,Y,Y,72,408,3
ID0265,Becky,1/5/2021,15:31:41,Contract related,Y,Y,68,261,3
ID0266,Joe,1/5/2021,15:31:41,Payment related,Y,Y,98,382,5
ID0267,Joe,1/5/2021,15:37:26,Streaming,Y,Y,120,56,3
ID0268,Dan,1/5/2021,15:37:26,Payment related,Y,Y,13,153,1
ID0269,Jim,1/5/2021,15:44:38,Admin Support,Y,Y,95,107,5
ID0270,Martha,1/5/2021,15:44:38,Payment related,Y,Y,31,42,5
ID0271,Dan,1/5/2021,16:06:14,Streaming,Y,Y,113,382,3
ID0272,Martha,1/5/2021,16:06:14,Technical Support,Y,Y,116,280,3
ID0273,Martha,1/5/2021,16:16:19,Admin Support,Y,N,94,329,5
ID0274,Martha,1/5/2021,16:16:19,Admin Support,Y,N,51,282,4
ID0275,Diane,1/5/2021,16:27:50,Technical Support,Y,Y,60,247,4
ID0276,Diane,1/5/2021,16:27:50,Contract related,Y,Y,59,364,2
ID0277,Stewart,1/5/2021,17:25:26,Technical Support,N,N,,0,
ID0278,Greg,1/5/2021,17:25:26,Payment related,N,N,,0,
ID0279,Joe,1/5/2021,17:29:46,Technical Support,N,N,,0,
ID0280,Dan,1/5/2021,17:29:46,Contract related,Y,Y,16,213,4
ID0281,Diane,1/5/2021,17:38:24,Technical Support,Y,Y,81,111,3
ID0282,Joe,1/5/2021,17:38:24,Streaming,Y,Y,65,406,1
ID0283,Martha,1/5/2021,17:44:10,Streaming,Y,Y,55,184,2
ID0284,Martha,1/5/2021,17:44:10,Technical Support,N,N,,0,
ID0285,Martha,1/5/2021,17:57:07,Technical Support,Y,Y,31,145,4
ID0286,Diane,1/5/2021,17:57:07,Streaming,Y,Y,45,313,2
ID0287,Greg,1/6/2021,9:08:38,Technical Support,N,N,,0,
ID0288,Stewart,1/6/2021,9:08:38,Payment related,Y,Y,43,129,5
ID0289,Stewart,1/6/2021,10:06:14,Technical Support,Y,Y,55,356,4
ID0290,Stewart,1/6/2021,10:06:14,Contract related,Y,Y,63,139,3
ID0291,Joe,1/6/2021,10:07:41,Payment related,N,N,,0,
ID0292,Jim,1/6/2021,10:07:41,Contract related,Y,Y,122,352,1
ID0293,Stewart,1/6/2021,10:32:10,Contract related,Y,Y,71,159,4
ID0294,Jim,1/6/2021,10:32:10,Technical Support,Y,Y,54,297,4
ID0295,Stewart,1/6/2021,10:42:14,Streaming,Y,Y,74,202,4
ID0296,Stewart,1/6/2021,10:42:14,Admin Support,Y,Y,125,287,4
ID0297,Dan,1/6/2021,11:12:29,Payment related,Y,Y,110,223,3
ID0298,Becky,1/6/2021,11:12:29,Streaming,N,N,,0,
ID0299,Martha,1/6/2021,11:29:46,Technical Support,Y,Y,74,91,5
ID0300,Diane,1/6/2021,11:29:46,Payment related,Y,Y,80,267,4
ID0301,Dan,1/6/2021,11:38:24,Payment related,N,N,,0,
ID0302,Joe,1/6/2021,11:38:24,Contract related,Y,Y,110,234,2
ID0303,Stewart,1/6/2021,11:45:36,Payment related,Y,Y,26,188,3
ID0304,Greg,1/6/2021,11:45:36,Technical Support,N,N,,0,
ID0305,Joe,1/6/2021,12:05:46,Admin Support,Y,Y,97,107,3
ID0306,Dan,1/6/2021,12:05:46,Admin Support,Y,N,82,340,3
ID0307,Becky,1/6/2021,12:07:12,Streaming,Y,N,102,353,5
ID0308,Jim,1/6/2021,12:07:12,Admin Support,Y,Y,120,52,5
ID0309,Greg,1/6/2021,13:30:43,Streaming,Y,Y,70,319,3
ID0310,Diane,1/6/2021,13:30:43,Admin Support,N,N,,0,
ID0311,Stewart,1/6/2021,13:58:05,Payment related,Y,Y,122,176,3
ID0312,Martha,1/6/2021,13:58:05,Streaming,N,N,,0,
ID0313,Joe,1/6/2021,14:03:50,Payment related,Y,Y,19,55,1
ID0314,Greg,1/6/2021,14:03:50,Payment related,Y,Y,71,157,4
ID0315,Joe,1/6/2021,14:13:55,Technical Support,Y,Y,24,299,1
ID0316,Martha,1/6/2021,14:13:55,Technical Support,Y,Y,67,336,1
ID0317,Martha,1/6/2021,14:32:38,Streaming,Y,N,57,254,3
ID0318,Diane,1/6/2021,14:32:38,Streaming,Y,Y,108,303,4
ID0319,Stewart,1/6/2021,14:57:07,Payment related,Y,Y,99,248,4
ID0320,Stewart,1/6/2021,14:57:07,Payment related,Y,Y,56,292,1
ID0321,Stewart,1/6/2021,15:02:53,Payment related,Y,Y,121,237,3
ID0322,Greg,1/6/2021,15:02:53,Admin Support,N,N,,0,
ID0323,Joe,1/6/2021,15:12:58,Contract related,Y,Y,72,360,1
ID0324,Greg,1/6/2021,15:12:58,Contract related,Y,Y,54,375,4
ID0325,Martha,1/6/2021,16:17:46,Admin Support,Y,Y,30,276,3
ID0326,Jim,1/6/2021,16:17:46,Payment related,Y,Y,44,64,2
ID0327,Greg,1/6/2021,16:22:05,Payment related,Y,N,97,118,4
ID0328,Jim,1/6/2021,16:22:05,Streaming,Y,Y,47,109,3
ID0329,Dan,1/6/2021,16:27:50,Streaming,Y,Y,53,103,3
ID0330,Dan,1/6/2021,16:27:50,Contract related,N,N,,0,
ID0331,Martha,1/6/2021,16:35:02,Payment related,N,N,,0,
ID0332,Jim,1/6/2021,16:35:02,Streaming,N,N,,0,
ID0333,Stewart,1/6/2021,16:39:22,Admin Support,Y,Y,81,225,3
ID0334,Diane,1/6/2021,16:39:22,Contract related,Y,Y,11,34,4
ID0335,Martha,1/6/2021,17:00:58,Payment related,Y,Y,48,53,5
ID0336,Stewart,1/6/2021,17:00:58,Contract related,Y,Y,37,414,5
ID0337,Martha,1/6/2021,17:19:41,Technical Support,Y,Y,115,154,4
ID0338,Greg,1/6/2021,17:19:41,Payment related,Y,Y,81,53,4
ID0339,Becky,1/6/2021,17:21:07,Contract related,N,N,,0,
ID0340,Jim,1/6/2021,17:21:07,Admin Support,Y,Y,12,192,5
ID0341,Stewart,1/6/2021,17:22:34,Admin Support,Y,Y,75,171,3
ID0342,Jim,1/6/2021,17:22:34,Contract related,Y,Y,42,77,4
ID0343,Greg,1/6/2021,17:24:00,Admin Support,Y,Y,96,105,5
ID0344,Stewart,1/6/2021,17:24:00,Payment related,Y,Y,58,111,5
ID0345,Dan,1/7/2021,9:04:19,Contract related,Y,Y,62,316,5
ID0346,Greg,1/7/2021,9:04:19,Payment related,Y,Y,74,130,5
ID0347,Becky,1/7/2021,9:07:12,Technical Support,Y,Y,26,70,3
ID0348,Diane,1/7/2021,9:07:12,Technical Support,N,N,,0,
ID0349,Joe,1/7/2021,9:20:10,Technical Support,Y,Y,40,308,2
ID0350,Joe,1/7/2021,9:20:10,Streaming,Y,Y,12,294,3
ID0351,Joe,1/7/2021,10:14:53,Contract related,Y,Y,114,221,5
ID0352,Becky,1/7/2021,10:14:53,Contract related,Y,Y,85,209,4
ID0353,Diane,1/7/2021,10:23:31,Admin Support,Y,Y,52,115,5
ID0354,Greg,1/7/2021,10:23:31,Streaming,Y,Y,60,258,3
ID0355,Joe,1/7/2021,10:33:36,Admin Support,Y,Y,76,307,4
ID0356,Stewart,1/7/2021,10:33:36,Contract related,N,N,,0,
ID0357,Becky,1/7/2021,10:48:00,Streaming,N,N,,0,
ID0358,Joe,1/7/2021,10:48:00,Streaming,Y,Y,25,80,5
ID0359,Greg,1/7/2021,11:36:58,Streaming,Y,Y,37,152,3
